bib_key,title,year,venue,pdf_filename,include,exclusion_reason,user_notes
Xu2020What,What Can Neural Networks Reason About?,2020,,[2020 ICLR]What Can Neural Networks Reason About?.pdf,yes,,
Veli_kovi_2020Neural,Neural Execution of Graph Algorithms,2020,,[2020 ICLR]Neural Execution of Graph Algorithms.pdf,yes,,
velivckovic2021neural,Neural algorithmic reasoning,2021,,[2021 Patterns]Neural Algorithmic Reasoning.pdf,yes,,
velivckovic2022clrs,The clrs algorithmic reasoning benchmark,2022,,[2022 ICML]The CLRS Algorithmic Reasoning Benchmark.pdf,yes,,
dudzik2022graph,Graph neural networks are dynamic programmers,2022,,[2022 Neurips]Graph Neural Networks are Dynamic Programmers.pdf,yes,,
numeroso2023dual,Dual Algorithmic Reasoning,2023,,[2023 ICLR]Dual Algorithmic Reasoning.pdf,yes,,
bevilacqua2023neural,Neural algorithmic reasoning with causal regularisation,2023,,[2023 ICML]Neural Algorithmic Reasoning with Causal Regularisation.pdf,yes,,
bounsi2024transformers,Transformers meet neural algorithmic reasoners,2024,,[2024 arXiv]Transformers meet Neural Algorithmic Reasoners.pdf,yes,,
bohde2024on,On the Markov Property of Neural Algorithmic Reasoning: Analyses and Methods,2024,,[2024 ICLR]On the Markov Property of Neural Algorithmic Reasoning- Analyses and Methods.pdf,yes,,
de2024simulation,Simulation of Graph Algorithms with Looped Transformers,2024,,[2024 ICML]Simulation of graph algorithms with looped transformers.pdf,yes,,
georgiev2024deep,Deep equilibrium algorithmic reasoning,2024,,[2024 Neurips]Deep Equilibrium Algorithmic Reasoning.pdf,yes,,
li2024open,Open-book neural algorithmic reasoning,2024,,[2024 Neurips]Open-Book Neural Algorithmic Reasoning.pdf,yes,,
estermann2024puzzles,Puzzles: A benchmark for neural algorithmic reasoning,2024,,[2024 Neurips]PUZZLES- A Benchmark for Neural Algorithmic Reasoning.pdf,yes,,
mcleish2024transformers,Transformers can do arithmetic with the right embeddings,2024,,[2024 Neurips]Transformers can do arithmetic with the right embeddings.pdf,yes,,
sanford2024understanding,Understanding transformer reasoning capabilities via graph algorithms,2024,,[2024 Neurips]Understanding Transformer Reasoning Capabilities via Graph Algorithms.pdf,yes,,
panagiotaki2024nar,Nar-* icp: Neural execution of classical icp-based pointcloud registration algorithms,2025,,[2025 arXiv]NAR-* ICP- Neural Execution of Classical ICP-based Pointcloud Registration Algorithms.pdf,yes,,
schutz2025tackling,Tackling gnarly problems: Graph neural algorithmic reasoning reimagined through reinforcement learning,2025,,[2025 arxiv]Tackling GNARLy Problems- Graph Neural Algorithmic Reasoning Reimagined through Reinforcement Learning.pdf,yes,,
rodionov2025discrete,Discrete Neural Algorithmic Reasoning,2025,,[2025 ICML]Discrete Neural Algorithmic Reasoning.pdf,yes,,
he2025primal,Primal-Dual Neural Algorithmic Reasoning,2025,,[2025 ICML]Primal-Dual Neural Algorithmic Reasoning.pdf,yes,,
povzgajknarsack,KNARsack: Teaching Neural Algorithmic Reasoners to Solve Pseudo-Polynomial Problems,2025,,[2025 Log]KNARsack- Teaching Neural Algorithmic Reasoners to Solve Pseudo-Polynomial Problems.pdf,yes,,
wuleveraging,Leveraging Classical Algorithms for Graph Neural Networks,2025,,[2025 Log]Leveraging Classical Algorithms for Graph Neural Networks.pdf,yes,,
xurecurrent,Recurrent Aggregators in Neural Algorithmic Reasoning,2025,,[2025 Log]Recurrent Aggregators in Neural Algorithmic Reasoning.pdf,yes,,
hashemi2026tropical,Tropical attention: Neural algorithmic reasoning for combinatorial algorithms,2025,,[2025 Neurips]Tropical Attention- Neural Algorithmic Reasoning for Combinatorial Algorithms.pdf,yes,,
